決算月	決算日	当期純利益	assets	liabilities	equity	revenues	expenses	basis	現金	モバイルSuica	watchSuica	三井住友銀行	ゆうちょ銀行	住信SBIネット銀行	飯塚信用金庫	株式	債券	シエンタ	シエンタ償却額	MAZDA3	MAZDA3償却額	未収入金	未収収益	前払費用	JALカードSuicaゴールド	ビックカメラSuica	SMBCCARD	Amazonゴールド	Amazon仮勘定	未払金	前受収益	未払費用	税額調整	資本金	拠出金	父より	母より	任意積立金	留保利益	給与収入	ボーナス	受取利息	有価証券評価損益	有価証券売却損益	受取配当金	雑益	食材費	中食費	外食費	酒・お菓子	パーティ	趣味	レジャー費	交際費	事務用品費	消耗品費	医療費	被服費	書籍費	交通費	旅費	家賃	水道光熱費	保育費	養育費	通信費	償却費	雑費	雑損
202409	2024/09/30	-107197	17041028	1340139	15700889	286224	393421	286224	29177	-18305	26681	934183	60859	1050604	11338	10463900	0	3250880	-584140	2907300	-1688747	0	572448	24850	194248	0	0	-2929	0	0	0	1102820	46000	4306305	780000	6200000	4000000	0	414584	286224	0	0	0	0	0	0	25196	1510	16477	3054	0	5763	5882	11846	0	14428	0	6600	0	20000	0	67417	13885	22550	0	5175	66420	48288	58930
202410	2024/10/31	396345	17611298	1514064	16097234	891254	494909	286224	15498	14250	12850	1633800	60859	67806	11338	11666500	0	3250880	-642554	2907300	-1691166	0	286224	17713	236714	0	0	-1380	0	0	0	1232730	46000	4306305	780000	6200000	4000000	0	810929	286224	0	0	0	439802	0	165228	29387	2340	18642	0	0	151869	14414	1360	0	16308	0	6970	0	37994	0	67417	13885	22550	0	5175	66420	40178	0
202411	2024/11/30	457351	18039427	1484842	16554585	774039	316688	213600	5448	23183	12850	1917416	60859	67806	11338	11666500	0	3250880	-700968	2907300	-1693585	0	499824	10576	71578	4320	0	304	0	0	0	1362640	46000	4306305	780000	6200000	4000000	0	1268280	213600	0	0	0	500000	0	60439	6304	0	14934	2040	0	12024	24562	0	0	6054	0	9330	0	22160	0	67417	13885	22550	0	5175	66420	43833	0
202412	2024/12/31	-757184	17917917	2120516	15797401	178657	935841	213600	28319	25335	12850	2219356	30859	241303	11338	11356100	0	3250880	-759382	2907300	-1696004	0	286224	3439	106618	4320	0	0	0	1963578	0	0	46000	4306305	780000	6200000	4000000	0	511096	213600	0	0	0	-36903	0	1960	16577	0	14184	5208	0	14967	11230	0	0	29034	0	22800	0	20000	0	67417	13885	22550	0	5175	66420	2058	624336
202501	2025/01/31	20503	18055477	2237573	15817904	336100	315597	213600	14264	24838	12850	2110130	30859	241303	11338	11478600	0	3250880	-817796	2907300	-1698423	0	499824	-10490	87053	0	3178	9847	0	1963578	0	127917	46000	4817401	780000	6200000	4000000	0	20503	213600	0	0	0	122500	0	0	18015	2899	8493	0	0	15260	10025	0	0	11777	4910	0	0	20700	0	77500	18359	6000	0	5175	73212	43272	0
202502	2025/02/28	49371	16317093	449818	15867275	426317	376946	303209	5124	26589	12850	815557	30859	241303	11338	11601100	0	3250880	-876210	2907300	-1700842	0	15664	-24419	109860	0	0	38124	0	0	0	255834	46000	4817401	780000	6200000	4000000	0	69874	303209	0	608	0	122500	0	0	17054	3374	14896	1620	0	28430	4923	21522	69700	7516	0	0	0	25607	0	77500	18359	6000	0	5175	73212	2058	0
202503	2025/03/31	33625	23104608	693708	22410900	472973	439348	315330	21514	27031	27850	1758359	859	276446	11338	17783600	0	3250880	-934624	2907300	-1703261	0	-284336	-38348	240178	0	0	23779	0	0	0	383751	46000	4817401	780000	12710000	4000000	0	103499	315330	0	0	0	122500	35143	0	18676	7787	16421	3744	0	11329	146874	0	2200	12218	0	0	0	37795	0	77500	18359	6000	0	5175	73212	2058	0
202504	2025/04/30	103690	23299465	784875	22514590	422500	318810	300000	15903	20038	27850	1318082	859	276446	11338	18206100	0	3250880	-993038	2907300	-1705680	0	15664	-52277	207167	0	1390	18650	0	0	0	511668	46000	4817401	780000	12710000	4000000	0	207189	300000	0	0	0	122500	0	0	21110	3591	14651	1564	0	3145	7628	0	0	17785	0	25440	5497	36095	0	77500	18359	6000	0	5175	73212	2058	0
202505	2025/05/31	68491	23331497	748416	22583081	449194	380703	326694	16613	12879	27850	1242280	859	276446	11338	18328600	0	3250880	-1051452	2907300	-1708099	0	15664	339	53223	0	-9000	18608	0	0	0	639585	46000	4817401	780000	12710000	4000000	0	275680	326694	0	0	0	122500	0	0	10132	8162	15077	0	11000	62606	13554	0	0	20486	0	0	0	34317	0	77500	18359	6000	17060	5175	73167	8108	0
202506	2025/06/30	989982	24986083	983020	24003063	1316109	326127	427605	27880	15428	27850	2114859	32237	376276	11338	19022300	0	3250880	-1109866	2907300	-1710518	18000	15664	-13545	133847	0	-9000	44671	0	0	0	767502	46000	4817401	780000	13140000	4000000	0	1265662	427605	524974	0	0	78583	284947	0	14045	1970	18366	2611	0	5887	18124	0	2411	9765	0	31364	0	30703	0	77500	18359	6000	8470	5175	73167	2210	0
202507	2025/07/31	112786	25885786	1489937	24395849	684576	571790	379212	22746	32976	27850	3144071	23767	35740	11338	19298200	0	3250880	-1168280	2907300	-1712937	18000	15664	-21529	473301	0	-9000	84217	0	0	0	895419	46000	4817401	780000	13420000	4000000	0	1378448	379212	0	0	0	305364	0	0	20913	1331	17922	2840	0	14333	7539	0	0	2648	0	10065	0	34981	0	77500	18359	6000	10868	5175	73167	268149	0
202508	2025/08/31	475341	26702284	1831094	24871190	900185	424844	371613	49030	25652	44850	3681684	15297	45212	11338	19617300	0	3250880	-1226694	2907300	-1715356	18000	15664	-37873	637399	8640	-9000	124719	0	0	0	1023336	46000	4817401	780000	13420000	4000000	0	1853789	371613	0	0	0	528572	0	0	18835	0	16237	2091	0	88310	14918	13670	10060	15034	0	18415	0	34089	0	77500	18359	6000	8470	5175	73167	4514	0
202509	2025/09/30	-106033	26906480	2141323	24765157	300000	406033	300000	66880	35185	44850	3641684	6827	45212	11338	19617300	0	3250880	-1285108	2907300	-1717775	18000	315664	-51757	779878	8640	1546	154006	0	0	0	1151253	46000	4817401	780000	13420000	4000000	0	1747756	300000	0	0	0	0	0	0	28395	5517	9904	7148	0	27828	38841	23600	10810	7738	0	28429	2035	25059	0	77500	18359	6000	8470	5175	73167	2058	0
202510	2025/10/31	-47605	27111209	2393657	24717552	300000	347605	300000	57227	31754	45850	3641684	-1643	45212	11338	19617300	0	3250880	-1343522	2907300	-1720194	18000	615664	-65641	857166	8640	41097	161584	0	0	0	1279170	46000	4817401	780000	13420000	4000000	0	1700151	300000	0	0	0	0	0	0	13299	6845	13935	2424	0	29933	16949	0	1200	9801	0	7991	0	34889	0	77500	18359	6000	18180	5175	73167	11958	0
202511	2025/11/30	-577207	27321563	3181218	24140345	300000	877207	300000	47345	23177	57850	3641684	-10113	45212	11338	19617300	0	3250880	-1401936	2907300	-1722613	18000	915664	-79525	1485527	8640	68800	165164	0	0	0	1407087	46000	4817401	780000	13420000	4000000	0	1122944	300000	0	0	0	0	0	0	20700	2356	17873	0	0	506941	24271	0	66076	8170	0	0	0	37591	0	77500	18359	6000	10970	5175	73167	2058	0
202512	2025/12/31	1820642	30062746	820078	29242668	2244608	423966	300000	58747	40875	57850	4752959	67062	366697	11338	21561908	0	3250880	-1460350	2907300	-1725032	0	0	172512	683547	2160	38434	95937	0	0	0	0	0	4817401	780000	16420000	4000000	0	3225267	300000	0	0	0	1944608	0	0	12119	5985	9209	0	0	5125	30200	43103	80186	13756	0	0	3520	30034	0	77500	18359	6000	8470	5175	73167	2058	0
